X,Y,Label
2.4001,0.31503,Class 1
2.217,0.27713,Class 1
2.0777,0.33347,Class 1
0.96564,1.1557,Class 1
2.4347,-0.29472,Class 1
1.1707,1.0267,Class 1
2.3751,-0.13849,Class 1
0.84774,0.92329,Class 1
1.0909,1.1593,Class 1
2.4317,-0.022871,Class 1
1.1747,1.1861,Class 1
0.17326,0.8656,Class 1
0.19673,0.88596,Class 1
2.0573,0.37367,Class 1
-0.11032,0.53941,Class 1
1.4446,0.99608,Class 1
0.27583,0.81484,Class 1
0.96088,0.99222,Class 1
1.9508,0.67462,Class 1
2.3734,0.20909,Class 1
2.553,-0.11792,Class 1
2.267,0.63753,Class 1
-0.23362,0.20172,Class 1
2.5741,-0.19267,Class 1
-0.098439,0.13618,Class 1
0.50813,1.0049,Class 1
1.8216,0.90786,Class 1
-0.31453,0.10983,Class 1
2.2663,-0.27545,Class 1
1.7911,0.9455,Class 1
1.1564,1.1604,Class 1
0.23176,0.74026,Class 1
0.40178,0.74089,Class 1
2.2503,-0.27944,Class 1
0.21491,0.65104,Class 1
1.9695,0.74154,Class 1
0.46624,0.93105,Class 1
1.0373,1.0605,Class 1
1.2094,1.0141,Class 1
1.3248,1.0152,Class 1
-0.066938,0.1648,Class 1
0.99351,1.1752,Class 1
2.2413,0.63761,Class 1
0.62917,1.0317,Class 1
0.32305,0.61321,Class 1
-0.17286,0.050605,Class 1
1.129,1.0423,Class 1
0.19361,0.83849,Class 1
1.534,1.0868,Class 1
2.2408,0.34182,Class 1
2.403,0.01648,Class 1
2.3203,0.11151,Class 1
2.015,0.80824,Class 1
2.2566,-0.12822,Class 1
0.64035,0.96926,Class 1
0.062542,0.55776,Class 1
0.18021,0.64849,Class 1
1.9901,0.56731,Class 1
0.17333,0.8678,Class 1
-0.38251,-0.25117,Class 1
-0.26837,0.24707,Class 1
0.5812,0.85693,Class 1
2.1763,0.24445,Class 1
2.4573,0.203,Class 1
2.1999,0.40432,Class 1
2.2327,0.66796,Class 1
-0.030287,0.17771,Class 1
0.90381,1.1809,Class 1
2.4173,-0.14953,Class 1
2.515,-0.017785,Class 1
1.9627,0.85384,Class 1
-0.11372,-0.049178,Class 1
0.33822,0.9429,Class 1
2.4372,0.24594,Class 1
1.991,0.62174,Class 1
2.2498,0.47689,Class 1
1.9432,0.65427,Class 1
0.40609,0.79662,Class 1
