X,Y,Label
3.6654,2.5275,Class 1
0.4113,1.3052,Class 1
1.5588,1.9024,Class 1
-0.018894,-2.7335,Class 1
-0.22249,2.1694,Class 1
-1.0923,0.40009,Class 1
-0.083,-1.5259,Class 1
1.5758,0.92171,Class 1
-1.1564,-4.892,Class 1
-0.24262,1.6343,Class 1
1.5501,3.8388,Class 1
1.2301,0.51151,Class 1
-1.7256,-0.83598,Class 1
0.21366,2.7152,Class 1
1.8615,0.067284,Class 1
2.2895,1.8203,Class 1
1.6842,-2.1033,Class 1
1.9554,1.2697,Class 1
1.4904,-0.28654,Class 1
0.081593,-2.1896,Class 1
-3.2785,-1.3697,Class 1
-3.5456,1.4777,Class 1
2.2753,0.036898,Class 1
1.538,0.74154,Class 1
1.3152,-1.1481,Class 1
-4.0339,0.17975,Class 1
0.6641,0.79108,Class 1
1.4918,1.1711,Class 1
-0.49536,0.54681,Class 1
-5.3649,-3.2483,Class 1
-1.7459,-0.23368,Class 1
0.38415,1.8534,Class 1
-0.96939,0.21378,Class 1
4.285,2.1809,Class 1
-1.8274,-2.0197,Class 1
0.57059,0.562,Class 1
0.20355,2.3755,Class 1
3.8745,2.3548,Class 1
3.6859,0.99393,Class 1
0.12002,1.3055,Class 1
1.5849,-0.80744,Class 1
-0.80747,1.5397,Class 1
1.436,-0.10249,Class 1
-3.0921,-2.9816,Class 1
-2.0805,3.9415,Class 1
2.9572,2.1545,Class 1
2.6016,-0.026729,Class 1
0.0609,-1.1002,Class 1
0.36609,0.67113,Class 1
0.31612,3.2033,Class 1
-2.6534,2.1808,Class 1
-1.1144,3.4637,Class 1
-0.8721,0.59795,Class 1
-2.6265,-2.7767,Class 1
-0.35115,-3.2366,Class 1
0.26088,3.7332,Class 1
-3.4466,-2.3847,Class 1
0.64122,-0.85634,Class 1
-2.3944,-3.2972,Class 1
-1.425,-0.9994,Class 1
-0.80822,-0.31398,Class 1
0.071892,0.08158,Class 1
2.1867,0.066079,Class 1
1.0425,-1.3544,Class 1
-0.93386,-2.1907,Class 1
1.415,2.444,Class 1
-2.8665,0.89606,Class 1
-4.2496,-0.1489,Class 1
-0.24616,-1.7266,Class 1
3.1438,0.33775,Class 1
-5.0826,-1.0247,Class 1
-2.3673,-2.4535,Class 1
2.2523,-0.69505,Class 1
-0.52744,-1.3165,Class 1
-1.913,-3.2298,Class 1
-2.0666,-0.8611,Class 1
-0.11872,2.5116,Class 1
2.5011,0.47767,Class 1
-0.43499,1.9842,Class 1
2.557,0.26313,Class 1
-0.44578,3.4508,Class 1
-0.36228,-1.3968,Class 1
-3.0741,0.87575,Class 1
2.4564,2.8192,Class 1
